CREATING A HABITABLE ENVIRONMENT	CREATING A HABITABLE ENVIRONMENT
Besides some <technologically> determinists that allow the development of biometric identification , this technology is also shaped by three social factors , namely , the desire of the society for safety , convenience and economy .	Besides some <technological> determinists that allow the development of biometric identification , this technology is also shaped by three social factors , namely , the desire of the society for safety , convenience and economy .
Safety is one of the crucial problems that many countries and companies <concern> .	Safety is one of the crucial problems that many countries and companies <are concerned about> .
On one hand more and more <virus> and <hack> can access personal computers , so <the> secret data and documents may be stolen .	On one hand more and more <viruses> and <hackers> can access personal computers , so secret data and documents may be stolen .
On the other hand , some important departments need strict <administration> <to> their <members> to avoid information leaks .	On the other hand , some important departments need strict <rules> <for> their <staff members over the use of confidential information> to avoid information leaks .
The United States Department of Defense ( DoD ) { Common Access Card } [ HYPERLINK : http : //en.wikipedia.org/wiki/Common_Access_Card ] is a successful <use> of biometric identification .	The United States Department of Defense ( DoD ) { Common Access Card } [ HYPERLINK : http : //en.wikipedia.org/wiki/Common_Access_Card ] is a successful <example> of biometric identification .
This card contains biometric data to add security and reduce the risk of falsification ( Ben , 2008 ) .	This card contains biometric data to add security and reduce the risk of falsification ( Ben , 2008 ) .
As we can see , the biometric identification <involved> in important <secure> areas is designed to identify <human> with accuracy and reliability .	As we can see , the biometric identification <employed> in important <security-sensitive> areas is designed to identify <people> with accuracy and reliability .
Besides safety , convenience is also desirable for <identifications> .	Besides safety , convenience is also desirable for <identification purposes.>
We do not want to spend time and effort to remember <password> , <neither> do we want to carry any cards or <equipments> to show our <identification> .	We do not want to spend time and effort to remember <passwords> , <and neither> do we want to carry any cards or <equipment> to show our <identity> .
For government and other organizations , they are also looking for small size <equipments> <and> time-saving progress <of> identification .	For government and other organizations , they are also looking for small size <equipment> <for> identification .
Therefore nowadays <the> biometric identification <progress> is designed to be very quick , and the <equipments> can be easily set up or can be combined with other <equipments> .	Therefore nowadays biometric identification <process> is designed to be very quick , and the <equipment> can be easily set up or can be combined with other <equipment> .
We can have <fingerprint> verification reader combined with <built-in> smartcard reader , and it only takes seconds to verify one 's identification .	We can have <a fingerprint> verification reader combined with <a built-in> smartcard reader , and it only takes seconds to verify one 's identification .
Moreover , the society is looking for economic ways of identification .	Moreover , the society is looking for economic ways of identification .
Therefore , the <equipments> of biometric identification <tend> to be <in-expensive> .	Therefore , the <equipment> of biometric identification <tends> to be <inexpensive> .
For instance , Retinal Technologies , Inc. ( RTI ) , <which> captures a retinal image at distances from the user 's eye with the means of just using a patented aspheric lens array .	For instance , Retinal Technologies , Inc. ( RTI ) , captures a retinal image at distances from the user 's eye with the means of just using a patented aspheric lens array .
Hence the RTI system is very inexpensively and can be commonly used ( Retinal Technologies , Inc. Launches Company and Revolutionizes Biometrics With Patented Retinal Scanning Technology , 2001 ) .	Hence the RTI system is very inexpensively and can be commonly used ( Retinal Technologies , Inc. Launches Company and Revolutionizes Biometrics With Patented Retinal Scanning Technology , 2001 ) .
The effects of the use of biometric identification are obvious .	The effects of the use of biometric identification are obvious .
With biometric identification , our fingers , faces and even eyes become our identification .	With biometric identification , our fingers , faces and even eyes become our identification .
This technology is widely used in our society and it brings <benefit> to the government , the military , <business> and every individual .	This technology is widely used in our society and it brings <benefits> to the government , the military , <the business> and every individual .
All in all , biometric identification achieves great development as <human> seek for better information protection , easier life style and greater economic profit , and it <benefits> much to those who <shaped> it .	All in all , biometric identification achieves great development as <humans> seek for better information protection , easier life style and greater economic profit , and it <brings tremendous benefits to> those who <shape> it .
References B .	References B .
Ben ( { June 6 } [ HYPERLINK : http : //en.wikipedia.org/wiki/June_6 ] , { 2008 } [ HYPERLINK : http : //en.wikipedia.org/wiki/2008 ] ) .	Ben ( { June 6 } [ HYPERLINK : http : //en.wikipedia.org/wiki/June_6 ] , { 2008 } [ HYPERLINK : http : //en.wikipedia.org/wiki/2008 ] ) .
" { Bush pushes biometrics for national security } [ HYPERLINK : http : //www.fcw.com/online/news/152750-1.html ] " .	" { Bush pushes biometrics for national security } [ HYPERLINK : http : //www.fcw.com/online/news/152750-1.html ] " .
Federal Computer Week .	Federal Computer Week .
Retrieved 5th September , 2009 , from { http : //www.fcw.com/online/news/152750-1.html } [ HYPERLINK : http : //www.fcw.com/online/news/152750-1.html ]	Retrieved 5th September , 2009 , from { http : //www.fcw.com/online/news/152750-1.html } [ HYPERLINK : http : //www.fcw.com/online/news/152750-1.html ]
Retinal Technologies , Inc. Launches Company and Revolutionizes Biometrics With Patented Retinal Scanning Technology ( 30th July,2001 ) Retrieved 5th , September , 2009 , from { http : //findarticles.com/p/articles/mi_m0EIN/is_2001_July_30/ai_76838243/ } [ HYPERLINK : http : //findarticles.com/p/articles/mi_m0EIN/is_2001_July_30/ai_76838243/ ]	Retinal Technologies , Inc. Launches Company and Revolutionizes Biometrics With Patented Retinal Scanning Technology ( 30th July,2001 ) Retrieved 5th , September , 2009 , from { http : //findarticles.com/p/articles/mi_m0EIN/is_2001_July_30/ai_76838243/ } [ HYPERLINK : http : //findarticles.com/p/articles/mi_m0EIN/is_2001_July_30/ai_76838243/ ]
Nuclear technology <had> come a long way since Ernest Rutherford first split the atom in 1917 .	Nuclear technology <has> come a long way since Ernest Rutherford first split the atom in 1917 .
The subsequent realization that the additional neutrons produced from fission reaction <can> induce a nuclear chain reaction <sparked> off widespread interest in nuclear technology .	The subsequent realization that the additional neutrons produced from fission reaction <could> induce a nuclear chain reaction <has sparked> off widespread interest in nuclear technology .
Since then , nuclear technology <had> been <through> <wars> , arms races and <had> found many applications in the medical , industrial and energy fields .	Since then , nuclear technology <has> been <exploited for> <wars and > arms races and <has> found many applications in the medical , industrial and energy fields .
When uranium fission was discovered in 1938 , it sparked widespread scientific interest due to the massive amount of energy released by the reaction .	When uranium fission was discovered in 1938 , it sparked widespread scientific interest due to the massive amount of energy released by the reaction .
However most American physicists were still skeptical that it could be turned into a bomb or an energy source .	However most American physicists were still skeptical that it could be turned into a bomb or an energy source .
However , with the world on the brink of war , military considerations would accelerate the development of nuclear technology beyond the imagination of the initial skeptics .	However , with the world on the brink of war , military considerations would accelerate the development of nuclear technology beyond the imagination of the initial skeptics .
Following fears that Nazi Germany was developing nuclear weaponry , the Manhattan Project was initiated in the United States .	Following fears that Nazi Germany was developing nuclear weaponry , the Manhattan Project was initiated in the United States .
The project eventually grew to include over thirty sites across America dedicated to nuclear research .	The project eventually grew to include over thirty sites across America dedicated to nuclear research .
The research effort culminated in " Fat Man " and " Little Boy " , two atomic bombs that were dropped on Nagasaki and Hiroshima respectively .	The research effort culminated in " Fat Man " and " Little Boy " , two atomic bombs that were dropped on Nagasaki and Hiroshima respectively .
Although wartime nuclear research brought about nothing but devastation and death , President Eisenhower 's " Atoms for Peace " speech would set the world off on the road of peaceful pursuit of nuclear energy .	Although wartime nuclear research brought about nothing but devastation and death , President Eisenhower 's " Atoms for Peace " speech would set the world off on the road of peaceful pursuit of nuclear energy .
The development of nuclear technology was also heavily influenced by public opinion , especially after disastrous accidents occurred in nuclear power stations .	The development of nuclear technology was also heavily influenced by public opinion , especially after disastrous accidents occurred in nuclear power stations .
The steady growth of nuclear power in the 1960s was hampered by the Three Mile Island nuclear accident in 1979 and the growing voices of the anti-nuclear movement .	The steady growth of nuclear power in the 1960s was hampered by the Three Mile Island nuclear accident in 1979 and the growing voices of the anti-nuclear movement .
The leakage of radioactive gas into the atmosphere prompted the many anti-nuclear demonstrations that <sprung> up across <the> America in the following months .	The leakage of radioactive gas into the atmosphere prompted the many anti-nuclear demonstrations that <sprang> up across America in the following months .
Although the reactor was eventually cleaned up and decontaminated , the <damaged> dealt to nuclear power was irreversible and caused its subsequent decline .	Although the reactor was eventually cleaned up and decontaminated , the <damage> dealt to nuclear power was irreversible and caused its subsequent decline .
This is especially evident in the steady drop of the number of nuclear reactors built , a statistic that was rising prior to the accident .	This is especially evident in the steady drop of the number of nuclear reactors built , a statistic that was rising prior to the accident .
With rising oil prices and growing concerns of global warming , countries are looking to nuclear power to solve the energy needs of tomorrow .	With rising oil prices and growing concerns of global warming , countries are looking to nuclear power to solve the energy needs of tomorrow .
China , the factory of the world , consumes phenomenal amounts of energy to fuel its economic growth .	China , the factory of the world , consumes phenomenal amounts of energy to fuel its economic growth .
To partly offset this gigantic demand for energy , China <had> launched an ambitious program to produce 16 % of its electricity from nuclear power by 2030 .	To partly offset this gigantic demand for energy , China <has> launched an ambitious program to produce 16 % of its electricity from nuclear power by 2030 .
This endeavor to produce more nuclear power <have> stimulated the development of safer designs of nuclear reactors .	This endeavor to produce more nuclear power <has> stimulated the development of safer designs of nuclear reactors .
One example is the Pebble Bed reactor , an innovative design that is being actively researched in China .	One example is the Pebble Bed reactor , an innovative design that is being actively researched in China .
Safety concerns <characterized> the basic concept of the Pebble Bed reactor with its passive safety design .	Safety concerns <characterize> the basic concept of the Pebble Bed reactor with its passive safety design .
In this design , nuclear fuels are contained in spheres or 'pebbles ' of graphite .	In this design , nuclear fuels are contained in spheres or 'pebbles ' of graphite .
Hence the nuclear fuels are contained in a more stable environment .	Hence the nuclear fuels are contained in a more stable environment .
When machinery failure occurs and reactor temperature increase to extremely high levels , the reactor does not undergo a meltdown or explode <,> instead temperature just stays at the high level until the heat can be dissipated or cooled by coolant liquids .	When machinery failure occurs and reactor temperature increase to extremely high levels , the reactor does not undergo a meltdown or explode <; instead,> temperature just stays at the high level until the heat can be dissipated or cooled by coolant liquids .
In conclusion , nuclear technology development <had> always been driven by social factors .	In conclusion , nuclear technology development <has> always been driven by social factors .
World War 2 <had> given it momentum in its initial research , but it will be mankind 's need for a renewable and environmentally friendly energy source that will drive nuclear technology 's future developments .	World War 2 <has> given it momentum in its initial research , but it will be mankind 's need for a renewable and environmentally friendly energy source that will drive nuclear technology 's future developments .
Carbon dioxide is a greenhouse gas which <is> trapping heat within the Earth .	Carbon dioxide is a greenhouse gas which <traps> heat within the Earth .
As such , global surface temperature has risen by 0.74 degree Celsius for the past century .	As such , global surface temperature has risen by 0.74 degree Celsius for the past century .
Global warming has brought along devastating problems which will affect the lives of many if ignored .	Global warming has brought along devastating problems which will affect the lives of many if ignored .
Engineering can help to address this issue by designing technologies which are capable of producing little or no carbon dioxide .	Engineering can help to address this issue by designing technologies which are capable of producing little or no carbon dioxide .
According to Khandani 's article on 'Engineering design process'1 , there are five steps to <designing> processes .	According to Khandani 's article on 'Engineering design process'1 , there are five steps to <the process of designing such technologies> .
First of all , we have to define the problem .	First of all , we have to define the problem .
One of the main causes of global warming is the excessive release of greenhouse gases into the atmosphere .	One of the main causes of global warming is the excessive release of greenhouse gases into the atmosphere .
To reduce heat <trap> within the atmosphere , carbon dioxide level has to be reduced .	To reduce heat <trapped> within the atmosphere , carbon dioxide level has to be reduced .
Engineers will have to design technologies which keep carbon dioxide emission to the minimum .	Engineers will have to design technologies which keep carbon dioxide emission to the minimum .
Presently in the market , there are already technologies which can replace present day <equipments> and emit less carbon dioxide .	Presently in the market , there are already technologies which can replace present day <equipment> and emit less carbon dioxide .
However these products are not manufactured in large quantities due to high cost of production and low demand .	However these products are not manufactured in large quantities due to high cost of production and low demand .
As such , engineers will have to design technological products which are able to keep both carbon dioxide emission and cost to the minimum , yet perform as efficiently as the present day products .	As such , engineers will have to design technological products which are able to keep both carbon dioxide emission and cost to the minimum , yet perform as efficiently as the present day products .
Second , engineers have to gather relevant information to assist them in generating ideas to tackle the problem .	Second , engineers have to gather relevant information to assist them in generating ideas to tackle the problem .
As the subject has been discussed for quite some time , relevant information <are> readily available on the internet and <articles> in magazines and newspapers .	As the subject has been discussed for quite some time , relevant information <is> readily available on the internet and in magazines and newspapers .
Third , engineers have to generate multiple solutions to solve the problem .	Third , engineers have to generate multiple solutions to solve the problem .
These solutions may be generated by analyzing existing products to find out how the weaknesses can be <improved> while retaining the <strength> .	These solutions may be generated by analyzing existing products to find out how the weaknesses can be <overcome> while retaining the <strengths> .
We must also value-add the product to make it even more attractive .	We must also value-add the product to make it even more attractive .
On top of that , engineers can also obtain a variety of similar products and analyze them together .	On top of that , engineers can also obtain a variety of similar products and analyze them together .
Constantly combining ideas will result in better solutions being formulated .	Constantly combining ideas will result in better solutions being formulated .
Fourth , engineers have to analyze all the solutions which they have generated and apply professional knowledge to decide on a solution .	Fourth , engineers have to analyze all the solutions which they have generated and apply professional knowledge to decide on a solution .
Engineers will have to use their technical knowledge to analyze the feasibility of the solutions .	Engineers will have to use their technical knowledge to analyze the feasibility of the solutions .
They will then analyze the solutions <in> the economic and social aspects .	They will then analyze the solutions <based on economic and social considerations> .
These products have to be sold in the <market> hence consumers must be convinced that these environmentally friendly products are as good as the present equipment in terms of performance and cost .	These products have to be sold in the <market; hence,> consumers must be convinced that these environmentally friendly products are as good as the present equipment in terms of performance and cost .
Therefore careful analysis of <the> product has to be made before selecting a solution for testing and implementation .	Therefore careful analysis of <a> product has to be made before selecting a solution for testing and implementation .
Last of all , engineers have to test and implement the solution which was selected in the previous step .	Last of all , engineers have to test and implement the solution which was selected in the previous step .
<According> Khandani 's article , engineers can test the solution by prototyping or concurrent engineering .	<According to> Khandani 's article , engineers can test the solution by prototyping or concurrent engineering .
Prototyping involves constructing the prototype and testing it under real conditions .	Prototyping involves constructing the prototype and testing it under real conditions .
Full scale production will not take place until extensive testing has been done .	Full scale production will not take place until extensive testing has been done .
Concurrent engineering requires a prototype to be constructed and the design is fine-tuned along the process .	Concurrent engineering requires a prototype to be constructed and the design is fine-tuned along the process .
However this tedious process is made easy through modern computer-aided design , analysis , and manufacturing software .	However this tedious process is made easy through modern computer-aided design , analysis , and manufacturing software .
These computer simulations take significantly shorter <time> hence <it> is a preferred choice as it means that the product can be sold in the market in a shorter period of time .	These computer simulations take significantly shorter <time; hence,> <they are> a preferred choice as it means that the product can be sold in the market in a shorter period of time .
Through the five designing steps , a <process> can be designed to meet the need to decrease carbon dioxide level .	Through the five designing steps , a <product> can be designed to meet the need to decrease carbon dioxide level .
Reference	Reference
1 Khandani , S. ( 2005 ) .	1 Khandani , S. ( 2005 ) .
Engineering design process .	Engineering design process .
http : //www.iisme.org/etp/HS % 20Engineering- % 20Engineering.pdf	http : //www.iisme.org/etp/HS % 20Engineering- % 20Engineering.pdf
Engineers design products or systems that meet human needs .	Engineers design products or systems that meet human needs .
One current human need that should be given priority is the search for renewable resources .	One current human need that should be given priority is the search for renewable resources .
Everywhere in the world , fuel is used extensively .	Everywhere in the world , fuel is used extensively .
From large scale power generators to the basic cooking at our homes , fuel is essential for all of these to happen and work .	From large scale power generators to the basic cooking at our homes , fuel is essential for all of these to happen and work .
Research <had> shown that fuel consumption <had> increased twenty percent over the last decade , and <had> projected that the depletion of fuels is <drawing> .	Research <has> shown that fuel consumption <has> increased twenty percent over the last decade , and <has> projected that the depletion of fuels is <drawing near> .
In addition , burning of fuels <emit> various harmful gases <pollute> our fragile environment .	In addition , burning of fuels <emits> various harmful gases <which pollute> our fragile environment .
These green house gases are the main cause <to> worldwide global warming which <give> rise to further catastrophes such as the rise in global temperature etc .	These green house gases are the main cause <of> worldwide global warming which <gives> rise to further catastrophes such as the rise in global temperature etc .
Engineers around the world <had> already started on working on this problem .	Engineers around the world <have> already started on working on this problem .
To guide <them> in this heavy responsibility of saving the earth , they <use> a set of simple steps <which> guide them in engineering a remedy , known as the Engineering Design Process .	To guide <themselves> in this heavy responsibility of saving the earth , they <have used> a set of simple steps , known as the Engineering Design Process .
This process consists of five major steps , <mainly> defining the problem , researching on information pertaining to the problem , brainstorming of ideas , filtering of the ideas , and lastly implementing <it> .	This process consists of five major steps , <namely> defining the problem , researching on information pertaining to the problem , brainstorming of ideas , filtering of the ideas , and lastly implementing <the ideas> .
Firstly , we can define this worldwide problem as the search <of> alternative resources to the existing near-depletion fuels .	Firstly , we can define this worldwide problem as the search <for> alternative resources to the existing near-depletion fuels .
Since fuels are non renewable and emit <so> much harmful gases , the alternatives that we are looking for should be a renewable <one> and <not> emit harmful pollutants .	Since fuels are non renewable and emit <a lot of> harmful gases , the alternatives that we are looking for should be a renewable <energy source> and <should not> emit harmful pollutants .
Next , we have to gather relevant information about the problem so that we are able to ensure that the solution we are looking for is able to solve the problem directly .	Next , we have to gather relevant information about the problem so that we are able to ensure that the solution we are looking for is able to solve the problem directly .
Studies <had> shown that an average of 2 lbs ( pounds ) of fuel is needed to produce 1kilowatt of power .	Studies <have> shown that an average of 2 lbs ( pounds ) of fuel is needed to produce 1kilowatt of power .
In addition , we <realized> that burning of fuels <produce> <the> large amount of greenhouse gases .	In addition , we <realize> that burning of fuels <produces> <a> large amount of greenhouse gases .
Thus , the alternative resources we are searching for must be able to produce this large amount of energy to replace fuels , as well as not emitting that huge amount of harmful gases .	Thus , the alternative resources we are searching for must be able to produce this large amount of energy to replace fuels , as well as not emitting that huge amount of harmful gases .
After identifying the important factors , engineers proceed on their search for solutions .	After identifying the important factors , engineers proceed on their search for solutions .
They will generate and brainstorm innovative ideas .	They will generate and brainstorm innovative ideas .
Alternatives such as the use of water energy and wind energy are some examples .	Alternatives such as the use of water energy and wind energy are some examples .
With these ideas , we have to analyse and weigh the advantages and disadvantages of them .	With these ideas , we have to analyse and weigh the advantages and disadvantages of them .
An example is <water> which is a good renewable resource and is plentiful .	An example is <water,> which is a good renewable resource and is plentiful .
However , water energy can only be a small option due to the feasibility .	However , water energy can only be a small option due to the feasibility .
This is because a large body of water is needed to harness the <same> energy produced by a small amount of fuel .	This is because a large body of water is needed to harness the <same amount of> energy produced by a small amount of fuel .
All the solutions will be thoroughly analysed by <the> engineers before coming to a conclusion .	All the solutions will be thoroughly analysed by engineers before coming to a conclusion .
Lastly , <the> engineers will put their solution to test and ensure that the solution is able to solve the problem .	Lastly , engineers will put their solution to test and ensure that the solution is able to solve the problem .
As such , engineers <made> use wind turbines and water hydraulic generators to harness the wind and water energy respectively .	As such , engineers <make use of> wind turbines and water hydraulic generators to harness the wind and water energy respectively .
<It> may not be the best <option> but both sources are renewable and are able to be used to slow down the <depleting> resource - fuel .	<Harnessing the wind and water energy> may not be the best <option,> but both sources are renewable and are able to be used to slow down the <depletion of fuel resources> .
This <had> shown that the engineering design process is essential in solving <problems> and it ensures that the problem is thoroughly looked into and <ensure> that the engineers are generating ideas that <target> the main problem , the <depletion> and <harmful> fuel .	This <has> shown that the engineering design process is essential in solving <problems,> and it ensures that the problem is thoroughly looked into and that the engineers are generating ideas that <address> the main problem , the <depletion of fuels> and <the emission of harmful gages> .
China 's problems hampering engineering design processes for innovations	China 's problems hampering engineering design processes for innovations
Since <the> reform and open policy in <1970> 's , China has been eagerly speeding up <on> its way to industrialization and <flourish> .	Since <the adoption of the reform and open policy> in <the 1970's> , China has been eagerly speeding up <its process of industrialization> and <development> .
Although the improvement is apparent , there are still a number of problems hampering engineering design processes for innovations .	Although the improvement is apparent , there are still a number of problems hampering engineering design processes for innovations .
Among them , education system and perception of innovation <stand> out becoming two major difficulties .	Among them , education system and perception of innovation <are> two major difficulties .
As Dr. Ronald B. Standler pointed out in 1998 , creativity is very important in science and engineering .	As Dr. Ronald B. Standler pointed out in 1998 , creativity is very important in science and engineering .
Drs Wayne Hall and Paul Robinson from University of Plymouth also found out that " Engineering + Creativity = Employability for Graduates " .	Drs Wayne Hall and Paul Robinson from University of Plymouth also found out that " Engineering + Creativity = Employability for Graduates " .
However , China 's examination-oriented education system <deeply> throttles students ' creativity .	However , China 's examination-oriented education system <greatly throttles> students ' creativity .
Not only parents and teachers but also <whole> society pushes students <concentrating> on how to get outstanding marks in examinations .	Not only parents and teachers but also <the whole society> pushes students to get outstanding marks in examinations .
Students spend most of their time reciting details in text books and doing tedious exercises again and again <for> the simple reason that these can help them get familiar with examinations .	Students spend most of their time reciting details in text books and doing tedious exercises again and again <simply to > get familiar with examinations .
As a result , students have no chance to develop their creative <thinking> and gradually become <stereotype> .	As a result , students have no chance to develop their creative <thinking abilities> and gradually become .
Many years ago , the situation <is> different .	Many years ago , the situation <was> different .
In 1931 , Qian Weichang entered Tsing Hua University , <major> in history with 0 marks in mathematics and physics .	In 1931 , Qian Weichang entered Tsing Hua University , <majoring> in history with 0 marks in mathematics and physics .
However , after one <year> study , he found history not suitable for himself and became interested in physics and showed great talent .	However , after one <year's> study , he found history not suitable for himself and became interested in physics and showed great talent .
When he appealed to change his major , the professor saw his creativity and eagerness , so he approved the appeal .	When he appealed to change his major , the professor saw his creativity and eagerness , so he approved the appeal .
After several <years> researching and studying , Qian Weichang made many great breakthroughs in physics .	After several <years of > researching and studying , Qian Weichang made many great breakthroughs in physics .
However , this kind of story can never be found in modern days .	However , this kind of story can never be found in modern days .
Recently , a student got a very good result in the National College Entrance Examination ( NCEE ) , but he did not enter the university which he applied for , because the secondary school offered him ¥ 100,000 encouraging him to stay <another> year in <secondary> school for the next year 's NCEE , expecting that he could become the <top> 1 student in his province .	Recently , a student got a very good result in the National College Entrance Examination ( NCEE ) , but he did not enter the university which he applied for , because the secondary school offered him ¥ 100,000 encouraging him to stay <for another> year in <the secondary> school for the next year 's NCEE , expecting that he could become the <top> student in his province .
Creativity is developed by students ' <exploring> through their self-learning .	Creativity is developed by students ' <exploration> through their self-learning .
However , the present education system leads students to another way .	However , the present education system leads students to another way .
Therefore , the lack of creative <qualified> human <resource> seriously hampers engineering design processes for innovations in China .	Therefore , the lack of creative human <resources> seriously hampers engineering design processes for innovations in China .
Another big problem is that Chinese people usually do not value innovation enough .	Another big problem is that Chinese people usually do not value innovation enough .
In China , it will take several years for a new technology or new engineering design to be put into practice .	In China , it will take several years for a new technology or new engineering design to be put into practice .
Moreover , many of the patents will never be used in production .	Moreover , many of the patents will never be used in production .
Most factories are not willing to spend money and time on innovation .	Most factories are not willing to spend money and time on innovation .
This problem significantly discourages engineers <to> make more effort to do research and design , <for> they <will> have little motivation to work hard .	This problem significantly discourages engineers <from making> more effort to do research and design , <and> they <have> little motivation to work hard .
However , in developed countries , people really appreciate innovation .	However , in developed countries , people really appreciate innovation .
When a new technology comes out , usually it will be put into use within two or three months .	When a new technology comes out , usually it will be put into use within two or three months .
Therefore , people are well motivated to do research and design , <and> industry updates frequently .	Therefore , people are well motivated to do research and design , .
Finally , great innovation may come .	Finally , great innovation may come .
<21st> century <will> be a more competitive and challenging opportunity for China to develop .	<The 21st century> <present China a more competitive and challenging opportunity > to develop .
Whether China can take this chance to catch up with those well-developed countries or even surpass them depends on China 's <trail> of solving the present problems .	Whether China can take this chance to catch up with those well-developed countries or even surpass them depends on China 's of solving the present problems .
If China can come up with <effective> policy to change its education system and stimulate innovation , China 's pace to flourish may become even faster .	If China can come up with <an effective policy> to change its education system and stimulate innovation , China 's pace to flourish may become even faster .
Reference Drs Wayne Hall and Paul Robinson , University of Plymouth HYPERLINK " http : //www.plymouth.ac.uk/pages/view.asp ? page = 12929 " http : //www.plymouth.ac.uk/pages/view.asp ? page = 12929 Ronald B. Standler , Creativity in science and engineering , 1998. http : //www.rbs0.com/create.htm	Reference Drs Wayne Hall and Paul Robinson , University of Plymouth HYPERLINK " http : //www.plymouth.ac.uk/pages/view.asp ? page = 12929 " http : //www.plymouth.ac.uk/pages/view.asp ? page = 12929 Ronald B. Standler , Creativity in science and engineering , 1998. http : //www.rbs0.com/create.htm
With the increase in human population , the human race has come to a point where desperate action needs to be taken to feed the millions of people in starvation .	With the increase in human population , the human race has come to a point where desperate action needs to be taken to feed the millions of people in starvation .
Statistics show that the <numbers> <are> only continuing to grow with the existing population explosion .	Statistics show that the <number> <is> only continuing to grow with the existing population explosion .
If <the> former need is put forward to an engineer , he can view it as a broad topic with many possible solutions .	If <the need of feeding millions of starving people> is put forward to an engineer , he can view it as a broad topic with many possible solutions .
Some solutions <as> examples would be to design plants/fertilizers that give higher yield or working with health experts introducing new ways to control population growth .	Some solutions would be to design plants/fertilizers that give higher yield or working with health experts introducing new ways to control population growth .
An engineer would firstly need to define the problem .	An engineer would firstly need to define the problem .
